time,z,x,y,vel,accel,rot,UserForce,Voltage1,Voltage2,Voltage3
0.00,50.00,20.00,0.00,0.000,0.000,0.00,0.00,,,
1.00,50.17,20.33,0.00,0.279,0.279,0.26,44.84,,,
2.00,50.33,20.67,0.00,0.280,0.001,0.26,44.92,,,
3.00,50.50,21.00,0.00,0.281,0.001,0.26,45.27,,,
4.00,50.67,21.33,0.00,0.282,0.001,0.25,45.62,,,
5.00,50.83,21.67,0.00,0.283,0.001,0.25,45.97,,,
6.00,51.00,22.00,0.00,0.285,0.001,0.25,46.31,,,
7.00,51.17,22.33,0.00,0.286,0.001,0.25,46.65,,,
8.00,51.33,22.67,0.00,0.287,0.001,0.24,46.98,,,
9.00,51.50,23.00,0.00,0.288,0.001,0.24,47.31,,,
10.00,51.67,23.33,0.00,0.289,0.001,0.24,47.64,,,
11.00,51.83,23.67,0.00,0.290,0.001,0.24,47.96,,,
12.00,52.00,24.00,0.00,0.291,0.001,0.23,48.28,,,
13.00,52.17,24.33,0.00,0.291,0.001,0.23,48.60,,,
14.00,52.33,24.67,0.00,0.292,0.001,0.23,48.91,,,
15.00,52.50,25.00,0.00,0.293,0.001,0.23,49.22,,,
16.00,52.67,25.33,0.00,0.294,0.001,0.22,49.52,,,
17.00,52.83,25.67,0.00,0.295,0.001,0.22,49.82,,,
18.00,53.00,26.00,0.00,0.296,0.001,0.22,50.12,,,
19.00,53.17,26.33,0.00,0.297,0.001,0.22,50.41,,,
20.00,53.33,26.67,0.00,0.298,0.001,0.22,50.70,,,
21.00,53.50,27.00,0.00,0.299,0.001,0.21,50.98,,,
22.00,53.67,27.33,0.00,0.299,0.001,0.21,51.27,,,
23.00,53.83,27.67,0.00,0.300,0.001,0.21,51.55,,,
24.00,54.00,28.00,0.00,0.301,0.001,0.21,51.82,,,
25.00,54.17,28.33,0.00,0.302,0.001,0.21,52.09,,,
26.00,54.33,28.67,0.00,0.303,0.001,0.20,52.36,,,
27.00,54.50,29.00,0.00,0.303,0.001,0.20,52.63,,,
28.00,54.67,29.33,0.00,0.304,0.001,0.20,52.89,,,
29.00,54.83,29.67,0.00,0.305,0.001,0.20,53.15,,,
30.00,55.00,30.00,0.00,0.306,0.001,0.20,53.41,,,
31.00,55.17,30.33,0.00,0.306,0.001,0.19,53.66,,,
32.00,55.33,30.67,0.00,0.307,0.001,0.19,53.91,,,
33.00,55.50,31.00,0.00,0.308,0.001,0.19,54.16,,,
34.00,55.67,31.33,0.00,0.308,0.001,0.19,54.40,,,
35.00,55.83,31.67,0.00,0.309,0.001,0.19,54.64,,,
36.00,56.00,32.00,0.00,0.310,0.001,0.18,54.88,,,
37.00,56.17,32.33,0.00,0.310,0.001,0.18,55.11,,,
38.00,56.33,32.67,0.00,0.311,0.001,0.18,55.35,,,
39.00,56.50,33.00,0.00,0.312,0.001,0.18,55.58,,,
40.00,56.67,33.33,0.00,0.312,0.001,0.18,55.80,,,
41.00,56.83,33.67,0.00,0.313,0.001,0.18,56.03,,,
42.00,57.00,34.00,0.00,0.314,0.001,0.17,56.25,,,
43.00,57.17,34.33,0.00,0.314,0.001,0.17,56.47,,,
44.00,57.33,34.67,0.00,0.315,0.001,0.17,56.68,,,
45.00,57.50,35.00,0.00,0.315,0.001,0.17,56.89,,,
46.00,57.67,35.33,0.00,0.316,0.001,0.17,57.10,,,
47.00,57.83,35.67,0.00,0.317,0.001,0.17,57.31,,,
48.00,58.00,36.00,0.00,0.317,0.001,0.16,57.52,,,
49.00,58.17,36.33,0.00,0.318,0.001,0.16,57.72,,,
50.00,58.33,36.67,0.00,0.318,0.001,0.16,57.92,,,
51.00,58.50,37.00,0.00,0.319,0.001,0.16,58.12,,,
52.00,58.67,37.33,0.00,0.319,0.001,0.16,58.31,,,
53.00,58.83,37.67,0.00,0.320,0.001,0.16,58.51,,,
54.00,59.00,38.00,0.00,0.320,0.001,0.16,58.70,,,
55.00,59.17,38.33,0.00,0.321,0.001,0.15,58.89,,,
